doc_id,name,gender,email,hosp_name,phone,specialization,age,yoe,
10001,Dr. Richa Vijayent Bajwa ,F,richabajwa@medicalH.com,Medical H,+91 74254 96547,ENT,38,12,
10002,Dr. Madhu Jagdal,F,madhuj@capitalhospital.com,Capital Hospital,+91 77164 62721,Cardiac ,36,8,
10003,Dr. Mukti Sodhani,F,muktis@medicalH.com,Medical H,+91 82180 22674,Gynaecology,54,28,
10004,Dr. Manish Lal Sarna,M,manishlal@capitalhospital.com,Capital Hospital,+91 77196 79561,Diabetology ,42,16,
10005,Dr. Rehman Chana,M,rehmanchana@medicosociety.com,Medico Society,+91 86692 49161,Gastroenterology,62,30,
10006,Dr. Manoj Iyengar,M,manojiyengar@capitalhospital.com,Capital Hospital,+91 99844 25180,Orthopaedics,52,25,
10007,Dr. Dhiraj Dey,M,dhirajdey@medicalH.com,Medical H,+91 95778 33251,Gynaecology,57,28,
10008,Dr. Chinmayi Ram Chauhan,F,chinmayirc@codeblue.com,Code Blue Hospital,+91 70510 09893,Gynaecology,40,19,
10009,Dr. Gowri Ajeet Bhatia,F,gowriajeetbhatia@codeblue.com,Code Blue Hospital,+91 88247 26677,Neurosurgery,46,21,
10010,Dr. Aarushi Maheshwari,F,aarushim@codeblue.com,Code Blue Hospital,+91 80928 95687,Dentistry,44,19,
10011,Dr. Amrit Saini,M,amritsaini@medicalH.com,Medical H,+91 73278 89057,ENT,42,11,
10012,Dr. Dhiraj Sen,M,dhirajsen@medicalcenter.com,Medical Center,+91 83771 23261,Dentistry,34,8,
10013,Dr. Neela Narain,F,neelanarain@medicalH.com,Medical H,+91 92620 88641,Cardiac ,43,20,
10014,Dr. Fardeen Yohannan,F,fardeenyohannan@codeblue.com,Code Blue Hospital,+91 84876 31349,Gynaecology,39,15,
10015,Dr. Riddhi Uday Ben,F,riddhiudayb@medicalH.com,Medical H,+91 96449 68494,Diabetology ,42,17,
10016,Dr. Nilima Nath,F,nilimanath@capitalhospital.com,Capital Hospital,+91 97321 42363,Oncology,61,39,
10017,Dr. Suraj Naidu,M,surajnaidu@capitalhospital.com,Capital Hospital,+91 98550 95609,Oncology,58,35,
10018,Dr. Aayush Baber Karan,M,aayushbkaran@medicalcenter.com,Medical Center,+91 72518 14229,Dermatology,32,7,
10019,Dr. Ramesh Thomas,M,rameshthomas@medicalcenter.com,Medical Center,+91 88513 62920,Dermatology,38,13,
10020,Dr. Yamini Kalpit Naidu,F,yaminiknaidu@codeblue.com,Code Blue Hospital,+91 78996 07326,Cardiac ,67,34,
